customer_id,age,income,customer_tenure,previous_purchases,average_order_value,website_visits,email_open_rate,discount_usage,recency_days,treatment,purchase_outcome,revenue,true_prob_y0,true_prob_y1,true_ite
C003483,38,76284.8880175699,16,1,92.67794938727556,2,0.2948898716833323,0.11959078302121268,236,1,0,0.0,0.019877975990222004,0.11549887320436711,0.0956208972141451
C009388,54,26598.419192228175,3,0,142.1869063811855,1,0.021352263503268392,0.16018965716167996,66,0,0,0.0,0.030901602393397037,0.09488154302145646,0.06397994062805942
C004270,37,67834.36145262208,45,7,80.09162522960887,16,0.03512332657765839,0.18484148094767724,97,0,0,0.0,0.04494071830870082,0.12285667211841701,0.07791595380971619
C009271,54,53146.76659282265,11,1,101.52691741712489,3,0.23247023978310055,0.20123271851196978,90,0,0,0.0,0.036559909781031685,0.12346402173456646,0.08690411195353477
C018789,66,136388.3368185951,28,1,78.87983852975042,1,0.3069517982094463,0.09851779037482879,356,1,0,0.0,0.012421496197875007,0.0,-0.012421496197875007
C009659,38,31437.605756152818,13,4,103.54799666856263,9,0.4218559502670735,0.16206827685324735,78,0,0,0.0,0.04428237889983712,0.1514338687155567,0.10715148981571958
C017317,45,83975.48965386646,43,4,33.75494413886403,9,0.23915044712235825,0.10626059740253496,167,0,0,0.0,0.03193105121233076,0.12899210477706247,0.09706105356473171
C011956,24,67437.67001979121,45,6,139.75980232188985,11,0.17954767373205024,0.036098386617353775,168,1,0,0.0,0.03259715421932632,0.07378423439414514,0.04118708017481882
C014648,57,41811.20914693084,9,3,85.90157159079905,12,0.08904304095380239,0.1056624770870755,351,0,0,0.0,0.009988815854691082,0.07044671776156806,0.060457901906876985
C003475,51,34850.19585721285,4,2,77.62954748726415,8,0.3540489352695243,0.6406249575110381,178,1,0,0.0,0.024478706235195748,0.1642942683746445,0.13981556213944876
C014913,28,55462.8521045404,30,3,96.93015494085343,8,0.3192658585617497,0.13374702586944026,105,0,0,0.0,0.03936834485998032,0.1883289075848696,0.14896056272488928
C012305,64,51669.281110701784,6,0,114.6462347280787,1,0.0851688750284248,0.22595763959398038,5,1,0,0.0,0.04852900798516914,0.0,-0.04852900798516914
C010793,55,73191.97496259026,39,5,29.678757009913397,11,0.4297131932909293,0.14166910255637288,167,1,0,0.0,0.035779984767652394,0.17921613126009722,0.14343614649244482
C007536,67,59520.31586905808,2,0,81.14882106224661,0,0.16818603160979523,0.12630005549998824,110,0,0,0.0,0.03133910113025565,0.0,-0.03133910113025565
C004194,48,123944.02366067198,3,2,89.08947615952859,9,0.3088896920220286,0.04963423987538612,214,1,0,0.0,0.025730930027164256,0.12680956208596203,0.10107863205879777
C016601,63,,8,2,54.85100109071323,2,0.26478839344362864,0.0018909713151818626,281,0,0,0.0,0.014279505356306562,0.0,-0.014279505356306562
C010884,21,78381.10348024887,45,5,111.40494216281556,13,0.46375599125845635,0.6262528319753154,350,0,0,0.0,0.015094577711493655,0.21963605383435567,0.204541476122862
C015365,63,35257.67376769849,27,3,91.7389452641271,9,0.18003253418650295,0.3692857091746583,228,1,0,0.0,0.01852652146582915,0.020221012356489165,0.0016944908906600144
